Temperature,Humidity,Soil_Quality,Crop_Type,NPK_Ratio,Fertility_Index,Crop_Yield
9.44059941,80,22.83333333,9,0.790849673,159.8333333,0
20.05257642,79.94742358,66.66666667,1,0.724137931,266.6666667,104.8713103
12.14309917,80,27.33333333,4,0.772972973,191.3333333,0
19.75184841,80,35,0,0.714285714,155,58.93979634
16.11039451,80,22.16666667,5,0.592814371,155.1666667,32.97041272
14.82673908,80,39.375,2,0.6875,174.375,29.35611549
13.53300427,80,17.04166667,6,0.704166667,221.5416667,0
18.32327171,80,42.29166667,8,0.705882353,187.2916667,22.22137511
18.89596317,80,22.83333333,3,0.790849673,159.8333333,54.25972686
16.86559457,80,63.66666667,7,0.578512397,254.6666667,68.11924993
16.04431798,80,22.83333333,9,0.790849673,159.8333333,28.72353012
15.98430618,80,48.70833333,1,0.757894737,215.7083333,51.65627328
14.42175859,80,27.33333333,4,0.772972973,191.3333333,0
11.40077896,80,13.75,0,0.65,178.75,8.159006262
9.347238477,80,22.16666667,5,0.592814371,155.1666667,0
19.4387423,80,67.66666667,2,0.611111111,270.6666667,108.2927309
10.80391238,80,54.25,6,0.722222222,240.25,0
19.87772564,80,42.29166667,8,0.705882353,187.2916667,31.00961062
19.06262911,80,13.91666667,3,0.748691099,180.9166667,52.58962186
20.01766449,79.98233551,14.58333333,7,0.590909091,189.5833333,65.93659541
1.90127448,80,60.66666667,9,0.733333333,242.6666667,0
13.50496325,80,25.08333333,1,0.781065089,175.5833333,22.32512664
12.32791773,80,16.66666667,4,0.731601732,216.6666667,0
18.71855642,80,60,0,0.636363636,240,81.29906552
17.50724166,80,43.16666667,5,0.574468085,191.1666667,54.1328665
16.57256448,80,25.33333333,2,0.661202186,177.3333333,39.12323606
13.36187408,80,54.25,6,0.722222222,240.25,0
17.30477808,80,58,8,0.673076923,232,19.46615835
10.64847523,80,35.58333333,3,0.820895522,157.5833333,3.265645747
29.71831708,70.28168292,37.04166667,7,0.649350649,164.0416667,1.464600045
16.07469415,80,60.66666667,9,0.733333333,242.6666667,50.06652544
22.01979369,77.98020631,39.08333333,1,0.810810811,173.0833333,46.61625956
11.2083644,80,53.08333333,4,0.75,235.0833333,0
16.72451168,80,13.75,0,0.65,178.75,33.29445899
2.506204292,80,43.16666667,5,0.574468085,191.1666667,0
21.15889188,78.84110812,67.66666667,2,0.611111111,270.6666667,83.74058545
22.02602653,77.97397347,17.04166667,6,0.704166667,221.5416667,45.86014922
15.38447474,80,33.83333333,8,0.757575758,149.8333333,1.864858226
12.91771818,80,13.91666667,3,0.748691099,180.9166667,18.27876325
10.24264125,80,63.66666667,7,0.578512397,254.6666667,2.254674208
10.40287883,80,35.58333333,9,0.820895522,157.5833333,2.151818013
13.38969242,80,48.70833333,1,0.757894737,215.7083333,23.57909666
15.0651695,80,53.08333333,4,0.75,235.0833333,0.566929795
17.50798183,80,60,0,0.636363636,240,61.85110776
17.60970783,80,59.33333333,5,0.547826087,237.3333333,69.42289756
16.73224105,80,25.33333333,2,0.661202186,177.3333333,44.40061128
17.83447035,80,74.33333333,6,0.689393939,297.3333333,31.15243097
5.327149022,80,58,8,0.673076923,232,0
14.97571528,80,35.58333333,3,0.820895522,157.5833333,27.50060759
9.437513228,80,63.66666667,7,0.578512397,254.6666667,0
26.36672579,73.63327421,22.83333333,9,0.790849673,159.8333333,20.60231825
7.508521813,80,15.29166667,1,0.739336493,198.7916667,0
15.06500946,80,72.66666667,4,0.716535433,290.6666667,0.689849442
28.60084583,71.39915417,13.75,0,0.65,178.75,6.483882013
15.20990032,80,22.16666667,5,0.592814371,155.1666667,27.37261607
18.70170409,80,15.5,2,0.624454148,201.5,56.93490185
10.76603141,80,27.91666667,6,0.744791667,195.4166667,0
19.28199397,80,42.29166667,8,0.705882353,187.2916667,29.76497433
18.17556275,80,44.33333333,3,0.76744186,196.3333333,51.32034861
11.24619078,80,46.375,7,0.606060606,205.375,9.939658217
17.09319735,80,35.58333333,9,0.820895522,157.5833333,33.69840396
17.33858539,80,48.70833333,1,0.757894737,215.7083333,59.710619
9.083671893,80,16.66666667,4,0.731601732,216.6666667,0
11.56412412,80,22.5,0,0.6875,157.5,10.13581832
